Alternatif,Nomor_Polis,Ranking_SAW,Ranking_EDAS,Ranking_TOPSIS,Ranking_AHP,Nilai_SAW,Nilai_EDAS,Nilai_TOPSIS,Nilai_AHP,Avg_Rank,Std_Rank,Range_Rank,Borda_Score
A29,POL-1423,21,29,20,31,0.3920922261792336,0.737949194603798,0.8890181660365498,0.3600860405243359,25.25,5.560275772537426,11,111
A27,POL-2390,19,27,28,33,0.3963409325157448,0.7448119444644873,0.8676174414990153,0.35104695796154023,26.75,5.795112883571236,14,105
A17,POL-3328,40,19,16,35,0.24901231784518402,0.7878648879002552,0.8927628913017547,0.3484339580026572,27.5,11.789826122551595,24,102
A21,POL-3017,33,21,31,28,0.3515480980812391,0.7718566646463623,0.8578338209362832,0.3690681661089985,28.25,5.251983752196243,12,99
A49,POL-0465,20,36,41,22,0.39327957118674806,0.636525595322342,0.7839172777858363,0.39755087889321117,29.75,10.340051579497398,21,93
A35,POL-3719,23,34,33,30,0.38567087226951324,0.6570500611517978,0.8481294189166142,0.3677278774794424,30.0,4.96655480858378,11,92
A18,POL-0701,41,31,7,43,0.2391307938320103,0.7188187400695183,0.9026959077053034,0.2797110149999527,30.5,16.522711641858304,36,90
A39,POL-0683,35,33,35,21,0.33576216579578594,0.6881613555381867,0.8474111804065855,0.4025208933445545,31.0,6.733003292241385,14,88
A26,POL-0582,44,25,18,41,0.22282079078814698,0.7493499243929378,0.8900580163444666,0.3013652552735217,32.0,12.516655570345725,26,84
A37,POL-0049,34,35,34,26,0.34149632113718364,0.6562218973550573,0.8479971712117633,0.3797931362275543,32.25,4.193248541803041,9,83
A34,POL-3124,36,39,37,18,0.3233828003428901,0.62796935476199,0.8370450552612071,0.42968133698619493,32.5,9.746794344808963,21,82
A36,POL-0500,32,38,36,25,0.3536951943187261,0.6306498270812027,0.8403852311038814,0.382481091705924,32.75,5.737304826019502,13,81
A24,POL-0110,43,23,23,42,0.2240344271788325,0.7622496990271259,0.8837810163591804,0.2958860229114452,32.75,11.265729744080792,20,81
A46,POL-1528,25,41,39,34,0.37491853830208444,0.601123958934459,0.8137237743369835,0.34923083634281943,34.75,7.135591542869215,16,73
A30,POL-3472,45,30,30,36,0.2112790066262969,0.7202713107978085,0.8625430893283023,0.32409854582383246,35.25,7.088723439378913,15,71
A32,POL-0145,37,37,26,44,0.29184172505683215,0.6307837982481377,0.8761354066872693,0.26610018014769604,36.0,7.438637868140465,18,68
A14,POL-2480,49,26,32,39,0.18039544661500237,0.7448817548700709,0.857115366807329,0.3034858442937249,36.5,9.882644720249061,23,66
A48,POL-3661,28,45,45,29,0.3629871104129365,0.467473841546831,0.7083950081352625,0.36783287221059546,36.75,9.535023160258534,17,65
A47,POL-3084,39,43,42,37,0.2573708419023141,0.5399790729877563,0.7418760873475679,0.3137939260586928,40.25,2.753785273643051,6,51
A42,POL-1448,27,47,50,38,0.3632350876234901,0.41620613837590975,0.6173048939642773,0.3136840219569593,40.5,10.344080432788601,23,50
A19,POL-0158,31,42,44,49,0.35470014782809145,0.5957485842087034,0.7105909083896546,0.22681509129562427,41.5,7.593857166596345,18,46
A33,POL-1538,46,40,38,50,0.1915940872440952,0.6111381638843638,0.8200692943474889,0.22640363145176223,43.5,5.507570547286102,12,38
A45,POL-0146,38,48,43,45,0.2828753779401456,0.4155472962064909,0.7112085482138045,0.24679805183681586,43.5,4.203173404306163,10,38
A51,POL-1266,42,50,47,40,0.23477219925743256,0.3498416646960862,0.6288717751705566,0.3014993896038953,44.75,4.573474244670748,10,33
A44,POL-0816,50,44,46,48,0.1769723315585333,0.5189052755341588,0.7071370717760354,0.22806279565151047,47.0,2.581988897471611,6,24
A52,POL-0600,47,46,48,52,0.19055935811659597,0.42112525481959817,0.6255851756226996,0.1780497015447825,48.25,2.629955639676583,6,19
A43,POL-3319,48,51,51,46,0.18645854963368197,0.3400187406150181,0.5417207933606508,0.24409357296293496,49.0,2.449489742783178,5,16
A41,POL-3182,52,49,49,47,0.15603376463667584,0.3718936088784851,0.620794104937561,0.23134585451339804,49.25,2.0615528128088303,5,15
A50,POL-0097,51,52,52,51,0.16463711795228014,0.011759642678722421,0.34527461172594665,0.1834627953574088,51.5,0.5773502691896257,1,6
